#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
4U045,1510,12101,Complement específic,11835.04,,11835.04,12288.69,12288.69
4U045,1610,12101,Complement especific,10542.0,,10542.0,8173.37,8173.37
4U046,1550,12101,Complement Destí,16077.18,,16077.18,16855.3,16855.3
4U049,1511,12101,Complement específica,13480.6,,13480.6,10439.46,10439.46
4U049,1550,12101,Complement específic.,,,,962.9,962.9
4U049,9208,12101,Complement específic,1901.42,,1901.42,1268.79,1268.79
4U050,1330,12101,Complement específic,35055.58,,35055.58,37024.49,37024.49
4U051,1320,12101,Complement específic,1617601.17,-33119.69,1584481.48,1381592.93,1381592.93
4U052,1620,12101,Complement específic,12298.02,,12298.02,13032.84,13032.84
4U052,9200,12101,Complemnt específic,13698.58,,13698.58,13619.62,13619.62
4U054,1640,12101,COMPLEMENT ESPECIFIC,18470.34,,18470.34,19756.04,19756.04
9U003,9125,12101,Complement específic,11422.09,,11422.09,9865.36,9865.36
9U058,9125,12101,Complement específic,16087.26,,16087.26,15763.33,15763.33
9U059,9240,12101,Complement específic.,,2854.2,2854.2,2781.22,2781.22
9U060,3370,12101,Complement específic.,,4281.3,4281.3,5242.21,5242.21
1U008,9121,12103,Altres complements,2439.22,,2439.22,2365.43,2365.43
1U009,9121,12103,Altres complements,3281.6,,3281.6,3281.6,3281.6
1U014,4330,12103,Altres complements,1988.98,,1988.98,6168.85,6168.85
1U015,4330,12103,Altres complements,9147.74,,9147.74,6715.79,6715.79
1U016,4310,12103,Altres complements,4068.82,,4068.82,4068.82,4068.82
1U055,4320,12103,Altres complements,567.84,,567.84,554.76,554.76
2U013,9209,12103,Altres complements.,,,,234.11,234.11
2U017,9204,12103,Altres complements,11633.41,,11633.41,15568.36,15568.36
2U018,9205,12103,Altres complements,19239.5,,19239.5,13310.86,13310.86
2U019,9250,12103,Altres complements,18532.41,,18532.41,16982.88,16982.88
2U020,9203,12103,Altres complements,955.64,,955.64,728.11,728.11
2U021,9207,12103,Altres complements,754.6,,754.6,3425.3,3425.3
2U022,9203,12103,Altres complements,11785.26,,11785.26,8698.77,8698.77
2U023,9203,12103,Altres complements,2500.4,,2500.4,2500.4,2500.4
2U024,9320,12103,Altres complements,1438.78,,1438.78,2971.32,2971.32
2U026,9320,12103,Altres complements,3665.34,,3665.34,4222.65,4222.65
2U027,9201,12103,Altres complements,9727.9,,9727.9,8243.44,8243.44
2U028,9201,12103,Altres complements,2115.82,,2115.82,1501.22,1501.22
2U029,9310,12103,Altres complements,10201.52,,10201.52,8181.81,8181.81
2U061,9204,12103,Altres complementàries,955.64,,955.64,955.64,955.64
2U067,9320,12103,Altres complements,2702.28,,2702.28,,
3U031,9206,12103,Altres complement,3277.54,,3277.54,3043.43,3043.43
3U032,2310,12103,Altres complements.,,,,209.3,209.3
3U032,3230,12103,Altres complements.,,,,1727.68,1727.68
3U033,2310,12103,Altres complements,4825.36,,4825.36,4667.87,4626.01
3U033,2330,12103,Altres complements,5458.51,,5458.51,5087.36,5087.36
3U036,3200,12103,Altres complements,2830.03,,2830.03,2459.76,2459.76
3U036,3230,12103,Altres complements.,,,,28.69,28.69
3U038,3221,12103,Altres complements,2299.36,,2299.36,1478.16,1478.16
3U039,3222,12103,Altres complements,309.68,,309.68,,
3U040,3410,12103,Altres complements.,,,,56.94,56.94
3U041,3320,12103,Altres complements,12067.16,,12067.16,11458.98,11458.98
3U041,3340,12103,Altres complementaries,585.9,,585.9,544.08,544.08
3U041,3350,12103,Altres complements.,,,,131.02,131.02
3U041,3380,12103,Altres complements.,,,,41.85,41.85
4U042,1340,12103,Altres complements,611.24,,611.24,567.58,567.58
