#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1600,4321,13000,Retribucions bàsiques,70582.03,,70582.03,70112.35,70112.35
2000,9209,13000,Retribucions bàsiques,59169.42,,59169.42,37113.14,37113.14
2110,9204,13000,Retribucions bàsiques,51387.02,,51387.02,50082.03,50082.03
2115,3120,13000,Retribucions bàsiques,16036.06,,16036.06,,
2115,9204,13000,Retribucions bàsiques,128314.76,,128314.76,13362.07,12514.35
2120,9205,13000,Retribucions bàsiques,150582.36,,150582.36,145750.58,145750.58
2130,9250,13000,Retribucions bàsiques,122181.06,,122181.06,104090.55,104090.55
2140,9207,13000,Retribucions bàsiques,45329.24,,45329.24,43095.61,43095.61
2210,9203,13000,Retribucions bàsiques,19730.16,,19730.16,19344.94,19344.94
2220,9203,13000,Retribucions bàsiques,80689.34,,80689.34,78681.0,78681.0
2230,1514,13000,Retribucions bàsiques,17595.17,,17595.17,16987.79,16987.79
2230,9210,13000,Retribucions bàsiques,8465.37,,8465.37,8094.69,8094.69
2300,9320,13000,Retribucions bàsiques.,,,,1175.5,1175.5
2310,9320,13000,Retribucions bàsiques,29280.72,7742.99,37023.71,28506.75,28506.75
2320,9320,13000,Retribucions bàsiques,49547.98,,49547.98,49508.79,49508.79
2400,9201,13000,Retribucions bàsiques,30802.11,1311.8,32113.91,22482.33,22482.33
2410,9203,13000,Retribucions bàsiques,29851.22,,29851.22,29267.5,29267.5
2510,9310,13000,Retribucions bàsiques,48436.77,,48436.77,52670.3,52670.3
3000,1620,13000,Retribucions bàsiques,12984.6,,12984.6,12849.17,12849.17
3000,9210,13000,Retribucions bàsiques,28576.89,,28576.89,42808.62,42808.62
3110,1320,13000,Retribucions bàsiques,70053.22,,70053.22,60067.99,60067.99
3120,1551,13000,Retribucions bàsiques,62705.91,,62705.91,59022.11,59022.11
3130,1620,13000,Retribucions bàsiques,27629.06,,27629.06,27629.06,27629.06
3130,1640,13000,Retribucions bàsiques,17742.42,,17742.42,14774.25,14774.25
3130,1720,13000,Retribucions bàsiques,40299.0,,40299.0,39917.13,39917.13
3130,4311,13000,Retribucions bàsiques,41738.03,,41738.03,24053.96,24053.96
3210,1710,13000,Retribucions bàsiques,105774.66,,105774.66,97083.85,97083.85
3220,1552,13000,Retribucions bàsiques,252982.35,,252982.35,235090.66,235090.66
4000,2310,13000,Retribucions bàsiques,33953.38,11368.61,45321.99,45035.61,45035.61
4000,9121,13000,Retribucions bàsiques,12395.64,,12395.64,12395.64,12395.64
4100,2310,13000,Retribucions bàsiques,16434.46,7215.03,23649.49,22339.89,22339.89
4110,2310,13000,Retribucions bàsiques,12984.6,,12984.6,6681.12,6681.12
4110,2311,13000,Retribucions bàsiques,248475.82,25325.42,273801.24,241977.17,241977.17
4110,2321,13000,Retribucions bàsiques,9180.91,,9180.91,8481.28,8481.28
4110,2330,13000,Retribucions bàsiques,125866.44,23451.22,149317.66,145343.32,145343.32
4120,2310,13000,Retribucions bàsiques,46106.57,,46106.57,38617.66,38617.66
4120,2321,13000,Retribucions bàsiques,15959.3,,15959.3,15959.3,15959.3
4120,9121,13000,Retribucions bàsiques,13583.5,,13583.5,13583.5,13583.5
4210,3130,13000,Retribucions bàsiques,92837.73,,92837.73,91093.45,91093.45
4310,3120,13000,Retribucions bàsiques,8766.1,,8766.1,8766.1,8766.1
4310,3200,13000,Retribucions bàsiques,207758.94,6948.35,214707.29,206452.93,206452.93
